CreditScore,LoanApproval
647,0
688,0
601,0
603,0
672,0
760,1
624,0
793,1
740,1
637,0
773,1
690,0
796,1
794,1
701,1
775,1
712,1
639,0
792,1
739,1
735,1
683,0
759,1
775,1
693,0
619,0
698,0
636,0
775,1
703,1
605,0
604,0
698,0
677,0
673,0
647,0
602,0
604,0
630,0
610,0
601,0
732,1
774,1
630,0
691,0
794,1
698,0
610,0
606,0
714,1
697,0
783,1
683,0
679,0
725,1
637,0
755,1
674,0
784,1
664,0
723,1
658,0
672,0
800,1
768,1
724,1
606,0
744,1
791,1
755,1
716,1
752,1
795,1
698,0
783,1
777,1
675,0
797,1
761,1
711,1
607,0
629,0
787,1
688,0
624,0
732,1
608,0
778,1
627,0
688,0
698,0
668,0
745,1
728,1
710,1
646,0
747,1
733,1
740,1
792,1
617,0
731,1
790,1
622,0
720,1
784,1
681,0
657,0
614,0
714,1
785,1
702,1
767,1
676,0
737,1
751,1
770,1
644,0
639,0
759,1
630,0
603,0
781,1
693,0
759,1
644,0
601,0
799,1
724,1
667,0
747,1
722,1
643,0
764,1
701,1
731,1
678,0
760,1
724,1
756,1
735,1
711,1
608,0
796,1
691,0
666,0
733,1
626,0
604,0
666,0
723,1
740,1
723,1
637,0
758,1
747,1
700,1
796,1
716,1
652,0
712,1
721,1
679,0
670,0
624,0
724,1
786,1
704,1
605,0
760,1
776,1
738,1
623,0
628,0
774,1
635,0
606,0
688,0
613,0
710,1
725,1
678,0
691,0
769,1
698,0
712,1
624,0
626,0
616,0
657,0
730,1
654,0
662,0
697,0
644,0
720,1
704,1
718,1
716,1
627,0
773,1
705,1
748,1
644,0
653,0
658,0
740,1
633,0
650,0
731,1
682,0
797,1
789,1
768,1
706,1
622,0
664,0
709,1
768,1
613,0
751,1
770,1
738,1
727,1
692,0
628,0
691,0
734,1
783,1
619,0
771,1
793,1
735,1
771,1
645,0
739,1
702,1
735,1
699,0
664,0
643,0
632,0
627,0
751,1
711,1
607,0
764,1
747,1
780,1
774,1
605,0
637,0
675,0
796,1
612,0
760,1
647,0
625,0
655,0
779,1
780,1
756,1
608,0
641,0
741,1
774,1
626,0
745,1
665,0
685,0
674,0
729,1
726,1
737,1
755,1
679,0
729,1
800,1
777,1
670,0
604,0
631,0
712,1
619,0
664,0
614,0
686,0
702,1
603,0
668,0
656,0
749,1
664,0
780,1
727,1
638,0
756,1
631,0
737,1
773,1
680,0
734,1
719,1
628,0
700,1
645,0
622,0
690,0
800,1
713,1
684,0
736,1
643,0
774,1
610,0
713,1
624,0
733,1
711,1
654,0
630,0
723,1
638,0
641,0
607,0
727,1
751,1
691,0
631,0
746,1
638,0
626,0
728,1
630,0
704,1
780,1
790,1
683,0
743,1
788,1
760,1
735,1
719,1
678,0
614,0
798,1
711,1
645,0
721,1
797,1
754,1
635,0
637,0
712,1
789,1
653,0
689,0
642,0
777,1
707,1
791,1
747,1
766,1
603,0
668,0
722,1
771,1
780,1
606,0
748,1
765,1
606,0
792,1
611,0
726,1
708,1
685,0
754,1
606,0
690,0
654,0
652,0
678,0
797,1
651,0
681,0
716,1
617,0
656,0
738,1
756,1
716,1
724,1
602,0
723,1
648,0
715,1
655,0
600,0
622,0
755,1
783,1
614,0
732,1
774,1
758,1
642,0
649,0
701,1
784,1
622,0
776,1
674,0
638,0
720,1
609,0
667,0
772,1
699,0
609,0
613,0
662,0
772,1
629,0
697,0
649,0
783,1
710,1
656,0
792,1
663,0
718,1
728,1
636,0
643,0
785,1
652,0
751,1
708,1
783,1
790,1
787,1
640,0
783,1
680,0
641,0
624,0
614,0
683,0
625,0
785,1
650,0
712,1
767,1
613,0
785,1
753,1
717,1
777,1
706,1
677,0
753,1
721,1
683,0
767,1
797,1
693,0
645,0
638,0
772,1
638,0
688,0
657,0
761,1
672,0
738,1
756,1
788,1
733,1
716,1
663,0
610,0
726,1
752,1
667,0
606,0
706,1
694,0
778,1
619,0
747,1
622,0
673,0
774,1
711,1
764,1
633,0
604,0
794,1
638,0
773,1
789,1
731,1
776,1
